City;PLZ;State
Freiburg im Breisgau;79110;Baden-Württemberg
Bad Säckingen;79713;Baden-Württemberg
Feldberg;79868;Baden-Württemberg
Simonswald;79263;Baden-Württemberg
Breitnau;79874;Baden-Württemberg
Lörrach;79540;Baden-Württemberg
Achberg;88147;Baden-Württemberg
Deggingen;73326;Baden-Württemberg
Bad Mergentheim;97980;Baden-Württemberg
Gingen an der Fils;73333;Baden-Württemberg
Hochdorf;88454;Baden-Württemberg
Staig;89195;Baden-Württemberg
Essingen;73457;Baden-Württemberg
Dietenheim;89165;Baden-Württemberg
Karlsruhe;76227;Baden-Württemberg
Graben-Neudorf;76676;Baden-Württemberg
Tuttlingen;78532;Baden-Württemberg
Pforzheim;75175;Baden-Württemberg
Zimmern unter der Burg;72369;Baden-Württemberg
Tiefenbronn;75233;Baden-Württemberg
Mönsheim;71297;Baden-Württemberg
Eschelbronn;74927;Baden-Württemberg
Öhningen;78337;Baden-Württemberg
Nusplingen;72362;Baden-Württemberg
Orsingen-Nenzingen;78359;Baden-Württemberg
Aglasterhausen;74858;Baden-Württemberg
Albstadt;72458;Baden-Württemberg
Neckargerach;69437;Baden-Württemberg
Stuttgart;70565;Baden-Württemberg
Heilbronn;74081;Baden-Württemberg
Ludwigsburg;71638;Baden-Württemberg
Reutlingen;72766;Baden-Württemberg
Altdorf;72655;Baden-Württemberg
Kernen im Remstal;71394;Baden-Württemberg
Aspach;71546;Baden-Württemberg
Wertheim;97877;Baden-Württemberg
Dettingen unter Teck;73265;Baden-Württemberg
Öhringen;74613;Baden-Württemberg
Lauterbach;78730;Baden-Württemberg
Fronreute;88273;Baden-Württemberg
Weißbach;74679;Baden-Württemberg
Lorch;73547;Baden-Württemberg
Heiningen;73092;Baden-Württemberg
Schlier;88281;Baden-Württemberg
Eschenbach;73107;Baden-Württemberg
Geislingen an der Steige;73312;Baden-Württemberg
Bühlertann;74424;Baden-Württemberg
Weidenstetten;89197;Baden-Württemberg
Rosenberg;73494;Baden-Württemberg
Dettingen an der Iller;88451;Baden-Württemberg
Herbrechtingen;89542;Baden-Württemberg
Rainau;73492;Baden-Württemberg
Dornhan;72175;Baden-Württemberg
Dauchingen;78083;Baden-Württemberg
Schopfloch;72296;Baden-Württemberg
Reilingen;68799;Baden-Württemberg
Rottweil;78628;Baden-Württemberg
Haiterbach;72221;Baden-Württemberg
Eppelheim;69214;Baden-Württemberg
Durchhausen;78591;Baden-Württemberg
Rohrdorf;72229;Baden-Württemberg
Balgheim;78582;Baden-Württemberg
Dürbheim;78589;Baden-Württemberg
Singen;78224;Baden-Württemberg
Waibstadt;74915;Baden-Württemberg
Kolbingen;78600;Baden-Württemberg
Moos;78345;Baden-Württemberg
Bad Rappenau;74906;Baden-Württemberg
Bodman-Ludwigshafen;78351;Baden-Württemberg
Sersheim;74372;Baden-Württemberg
Zwingenberg;69439;Baden-Württemberg
Freudental;74392;Baden-Württemberg
Stuttgart;70569;Baden-Württemberg
Erligheim;74391;Baden-Württemberg
Sipplingen;78354;Baden-Württemberg
Ludwigsburg;71634;Baden-Württemberg
Aichtal;72631;Baden-Württemberg
Ingersheim;74379;Baden-Württemberg
Freiberg am Neckar;71691;Baden-Württemberg
Ludwigsburg;71642;Baden-Württemberg
Bempflingen;72658;Baden-Württemberg
